ERROR 2025-11-17 07:16:18,424 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:27,361 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:40,320 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:49,271 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:58,216 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:07,290 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:16,247 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:25,188 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:34,194 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:43,151 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:17:52,098 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:01,070 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:10,145 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:19,081 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:28,010 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:40,988 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:49,937 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:18:58,856 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:19:11,812 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:19:24,632 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:19:33,683 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:19:42,686 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:19:51,642 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:00,586 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:09,669 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:18,613 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:27,552 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:36,614 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:45,594 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:20:54,528 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:21:03,479 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:21:12,536 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:21:21,537 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:21:34,438 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:21:47,271 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:00,101 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:13,118 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:25,917 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:34,950 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:43,941 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:22:52,862 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:05,778 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:14,767 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:23,716 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:32,652 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:41,739 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:50,698 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:23:59,617 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:24:12,570 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:24:21,525 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:24:30,483 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:24:43,422 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:24:52,357 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:01,282 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:10,360 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:19,309 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:28,273 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:37,336 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:46,295 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:25:55,250 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:04,203 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:13,296 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:22,237 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:31,169 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:44,133 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:26:53,076 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:02,019 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:14,963 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:23,902 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:32,830 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:41,910 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:50,861 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:27:59,804 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:08,875 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:17,848 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:26,786 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:35,797 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:44,775 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:28:53,703 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:02,640 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:11,718 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:20,669 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:29,607 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:38,658 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:47,636 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:29:56,575 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:05,592 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:14,606 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:23,549 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:32,473 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:41,559 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:50,509 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:30:59,436 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:12,394 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:21,350 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:30,293 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:39,392 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:48,342 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:31:57,262 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:06,295 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:15,294 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:24,260 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:33,178 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:46,147 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:32:55,105 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:04,075 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:13,159 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:22,104 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:34,903 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:43,997 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:33:52,965 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:01,897 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:14,842 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:23,776 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:32,734 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:41,842 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:50,813 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:34:59,720 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:08,745 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:21,574 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:30,514 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:39,572 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:48,542 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:35:57,463 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:06,410 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:15,509 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:24,441 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:37,352 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:46,304 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:36:55,230 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:04,165 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:13,310 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:22,271 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:31,219 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:40,287 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:49,240 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:37:58,187 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:07,196 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:16,186 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:29,015 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:38,046 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:47,020 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:38:55,988 user_events Connection error: [Errno -2] Name or service not known
INFO 2025-11-17 07:38:56,621 django.utils.autoreload Watching for file changes with StatReloader
ERROR 2025-11-17 07:39:04,916 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:39:10,014 user_events Connection error: 
ERROR 2025-11-17 07:39:15,017 user_events Connection error: 
ERROR 2025-11-17 07:39:20,024 user_events Connection error: 
INFO 2025-11-17 07:39:22,250 django.server "GET /openapi.json HTTP/1.1" 200 3587
ERROR 2025-11-17 07:39:25,032 user_events Connection error: 
ERROR 2025-11-17 07:39:30,039 user_events Connection error: 
ERROR 2025-11-17 07:39:35,047 user_events Connection error: 
INFO 2025-11-17 07:39:38,183 django.server "GET /openapi.json HTTP/1.1" 200 3587
ERROR 2025-11-17 07:39:40,136 user_events Connection error: 
ERROR 2025-11-17 07:39:45,139 user_events Connection error: 
ERROR 2025-11-17 07:39:50,146 user_events Connection error: 
ERROR 2025-11-17 07:39:55,157 user_events Connection error: 
ERROR 2025-11-17 07:40:00,166 user_events Connection error: 
